NEO,YY1,P&P FILE,,,,,,,,,,,
,,,,,,,,,,,,,
PanelizedPCB,UnitLength,0,UnitWidth,0,Rows,1,Columns,1,
,,,,,,,,,,,,,
Fiducial,1-X,13.09,1-Y,54.90,OverallOffsetX,0,OverallOffsetY,0,
,,,,,,,,,,,,,
NozzleChange,OFF,BeforeComponent,2,Head1,Drop,Station1,PickUp,Station3,
NozzleChange,OFF,BeforeComponent,3,Head1,Drop,Station3,PickUp,Station1,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station1,PickUp,Station1,
NozzleChange,OFF,BeforeComponent,1,Head1,Drop,Station1,PickUp,Station1,
,,,,,,,,,,,,,
Designator,Comment,Footprint,Mid X,Mid Y,Rotation,Head,FeederNo,Mount Speed (%),Pick Height(mm),Place Height(mm),Mode,Skip
C1,1u,0603D,128.0,-123.0,-90.0,01,0,100,0,0,1,0
C2,1u,0603D,135.0,-117.0,90.0,01,0,100,0,0,1,0
C3,10n,0603D,111.0,-111.0,0.0,01,0,100,0,0,1,0
C4,10uF,0603D,165.7,-106.775,-90.0,01,0,100,0,0,1,0
C5,100nF,0603D,141.975,-107.75,180.0,01,0,100,0,0,1,0
C6,100nF,0402D,173.52,-121.5,180.0,01,0,100,0,0,1,0
C7,100n,0402D,173.48,-123.5,180.0,01,0,100,0,0,1,0
C8,0.1uF,0402D,152.5,-117.52,-90.0,01,0,100,0,0,1,0
C9,0.1u,0402D,159.0,-113.5,180.0,01,0,100,0,0,1,0
C10,4.7uF,0603D,158.0,-104.275,90.0,01,0,100,0,0,1,0
C11,10uF,0603D,167.3,-106.775,-90.0,01,0,100,0,0,1,0
D1,1N5819WS,SOD_323,128.0,-119.0,90.0,01,0,100,0,0,1,0
D2,CHRG,0603D,139.0,-120.0,0.0,01,0,100,0,0,1,0
D3,DONE,0603D,139.0,-121.6,0.0,01,0,100,0,0,1,0
D4,PWR,0603D,111.0,-119.0,0.0,01,0,100,0,0,1,0
D5,HI,0603D,180.9,-120.7875,-90.0,01,0,100,0,0,1,0
FB1,GZ1608D601TF,0603D,111.0,-114.6,0.0,01,0,100,0,0,1,0
J1,swd-connect-3,swd-connect-3-mcu,185.4,-120.7,0.0,01,0,100,0,0,1,0
J2,USB_C_Receptacle_USB2.0,USB_C_Receptacle_ SHOU_HAN_TYPE-C 16PIN 2MD(073),102.325,-117.01,-90.0,01,0,100,0,0,1,0
J4,RIPPLE_CON,FPC-SMD_AFC01-S12FCC-00,182.0,-106.0,90.0,01,0,100,0,0,1,0
J5,JST PH2.0,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,102.45,-103.5,-90.0,01,0,100,0,0,1,0
L1,2.2uH,L_Sunlord_SWPA4020S,162.0,-110.0,0.0,01,0,100,0,0,1,0
Q1,AO3401A,SOT_23,122.0,-119.0,90.0,01,0,100,0,0,1,0
Q2,SI2302,SOT_23,147.0,-104.0,90.0,01,0,100,0,0,1,0
Q3,SI2302,SOT_23,151.89,-104.0,90.0,01,0,100,0,0,1,0
Q4,SI2302,SOT_23,170.0,-119.0,180.0,01,0,100,0,0,1,0
R1,1k,0402D,124.0,-123.0,-90.0,01,0,100,0,0,1,0
R2,1k,0402D,139.239999,-118.5,0.0,01,0,100,0,0,1,0
R3,5.1k,0603D,103.49,-124.0,0.0,01,0,100,0,0,1,0
R4,5.1k,0603D,103.534645,-109.934187,0.0,01,0,100,0,0,1,0
R5,1k,0402D,111.0,-122.0,0.0,01,0,100,0,0,1,0
R6,2k2,0402D,130.0,-119.76,90.0,01,0,100,0,0,1,0
R7,470,0402D,139.0,-107.75,0.0,01,0,100,0,0,1,0
R8,2.2k,0402D,142.5,-101.0,0.0,01,0,100,0,0,1,0
R9,0,0402D,173.5,-119.0,0.0,01,0,100,0,0,1,0
R10,470,0402D,180.9,-123.41,90.0,01,0,100,0,0,1,0
R11,1MEG,0402D,169.5,-115.0,0.0,01,0,100,0,0,1,0
R12,470k,0402D,169.5,-116.0,180.0,01,0,100,0,0,1,0
R13,10k,0402D,173.5,-120.0,0.0,01,0,100,0,0,1,0
R14,450k,0402D,164.0,-105.51,90.0,01,0,100,0,0,1,0
R15,100k,0402D,164.0,-103.49,90.0,01,0,100,0,0,1,0
SW1,Reset,1TS015A-1800-0600-CT,176.88,-123.42,0.0,01,0,100,0,0,1,0
U2,CN3165,DFN-8_L3.0-W3.0-P0.50-BL-EP,133.0,-121.0,-90.0,01,0,100,0,0,1,0
U3,DW101-A,SOT-23-6,141.98,-104.0,-90.0,01,0,100,0,0,1,0
U4,ch32v003f4u6,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,177.0,-119.0,0.0,01,0,100,0,0,1,0
U5,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,157.47,-119.24,0.0,01,0,100,0,0,1,0
U7,TLV62568DBV,SOT-23-5,161.1375,-105.95,0.0,01,0,100,0,0,1,0
